source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun,gold_tier
IndicDialogue,Jaadugar,1957742927,581,"मैं दोबारा नहीं करूँगा। दोबारा आऊँगा ही नहीं मैं यहाँ।
आज के बाद, अगर तू, तेरा कोई दोस्त, तेरा कोई परिवार वाला
मेरे, मेरे घर, मेरे मोहल्ले के आसपास भी दिखा ना,
तो थ्योरी नहीं सीधा प्रैक्टिकल करूँगी।
चौकन्ना होके सुन लिया मैम।",अब मैं ____ जाने दूँगी।,अब मैं तुझे जाने दूँगी।,तुझे,T
IndicDialogue,Lust Stories 2,1958186552,783,"आऊँ क्या?
चाबी...
♪ जब कोई बात बिगड़ जाए ♪
♪ जब कोई मुश्किल पड़ जाए ♪
♪ तुम देना साथ मेरा, ओ हमनवा ♪",- ♪ जब कोई बात बिगड़ जाए ♪ - बाकी... ____ पहुँचने के बाद।,- ♪ जब कोई बात बिगड़ जाए ♪ - बाकी... तुम्हारे पहुँचने के बाद।,तुम्हारे,TUM
IndicDialogue,Indoo Ki Jawani,1957132233,1521,"-पिक्चर नहीं देखी? -ये लो।
हर बात में फ़िल्मी जवाब तैयार है इनके पास।
फ़िल्मी संवाद सुनाओ और कमियाँ छिपाओ बस।
तो तुम्हारा देश कौन सा श्रेष्ठ है।
भारत तो पाकिस्तान से कई गुना अच्छा है।","ओह हैलो, ____ बोलने से भारत पाकिस्तान से बेहतर नहीं हो जाएगा।","ओह हैलो, तुम्हारे बोलने से भारत पाकिस्तान से बेहतर नहीं हो जाएगा।",तुम्हारे,TUM
IndicDialogue,Shehzada,1958077493,913,"बुलाओ। मैं सच बताना चाहती हूँ कि तुम उनके बेटे हो।
रणदीप को बुलाओ। रणदीप को बुलाओ। मुझे उन्हें बताना है।
-बुलाओ उनको। बुलाओ उनको! -वो अंदर हैं--
ये पेशेंट यहाँ क्यों है?
-सिस्टर। -यस, डॉक्टर।",क्या कर रही हो ____?,क्या कर रही हो तुम?,तुम,TUM
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1909,"चप्पल खो देती है वो।
प्लेट में रोटी खो दी थी उसने, वो माँ बन रही है!
और मैं जो ढूंढ नहीं पाया, बाप बन रहा हूँ।
भगवान बचाए उसको जो पेट में है, हमसे उम्मीद ना रखे।
और ये सब तेरे निकम्मेपन की वजह से हो रहा।",अगर ____ मेरा ब्रेकअप कराने में कामयाब हो जाता तो मैं आज बाप ना बन रहा होता।,अगर तू मेरा ब्रेकअप कराने में कामयाब हो जाता तो मैं आज बाप ना बन रहा होता।,तू,T
IndicDialogue,Darlings,1957768015,478,"‎ सही है। मैं यहाँ से ‎साफ़-सुथरा हो के, तौबा करके आऊँगा।
‎ फिर अपना चाँद सा बच्चा होएगा।
‎ बच्ची हुई तो मैं नाम रखूँगा, ‎बच्चा हो तो तुम रखना। ठीक है?
‎फिर अपना सपना पूरा करेंगे। ‎मेरे को भी करने का है। अकेले मत कर लेना।
‎-अकेले होगा भी नहीं मुझसे। ‎-तो फिर दो-तीन साल रोक के रखना अपने को।",‎ ____ तलाक क्यों नहीं करवाती?,‎ तुम तलाक क्यों नहीं करवाती?,तुम,TUM
IndicDialogue,Jaadugar,1957742927,1855,"और सबकी खुशी भी उसी रास्ते पर है।
बस उसके लिए, हम दोनों को, कुछ जाने देना होगा।
दिशा, मैं तुझे जाने नहीं दे सकता।
आई एम सॉरी दिशा, पर कल अपने प्यार को पाने के लिए मुझे जो करना पड़ेगा मैं करूँगा।
बस यही एक बात।",ये एक बात ____ समझ नहीं पाया।,ये एक बात तू समझ नहीं पाया।,तू,T
IndicDialogue,Guilty,1956804853,429,"‎आपको मेरा करियर मैटर नहीं करता? हैं?
‎मतलब मुझे जवाब नहीं देना है? ‎अपनी... अपनी पार्टी का?
‎-प्लीज़... ‎-अरे, कौन मुझे देगा पार्टी...
‎उसने कुछ नहीं किया है।
‎आपको कैसे पता? हैं?","‎-____ थीं वहां? ‎-अरे, तो मत करो ना कुछ।","‎-आप थीं वहां? ‎-अरे, तो मत करो ना कुछ।",आप,AAP
IndicDialogue,The Great Indian Family,1958355201,90,"- हा..हा..हा.. तुम्हारी यहीं बातें ना.. - चलें... बाँध दे एक-एक किलो सब..?
अरे तीन-तीन किलो.. बिल्लू का प्रोग्राम है आज।
शायद मक्खियों को सिक्स सेंस होता है
और उन्हें पता था कि हमारा क्या प्रोग्राम बनने वाला है।
- जनेऊ। - यज्ञोपवी संस्कार।",____ ब्राह्मण बनने का हैप्पी बर्थडे।,तुम्हारा ब्राह्मण बनने का हैप्पी बर्थडे।,तुम्हारा,TUM
IndicDialogue,Dhamaka,1957450323,770,"‪ जी, मैंने आपको बताया कि मेरे पास ‪इस बात को लेकर कोई आधिकारिक जानकरी नहीं।
‪ देखिए, सरकार के बैठे रहने से ‪अगर लोगों की जान जाती है,
{\an8}‪तो जनता आपको माफ़ नहीं कर पाएगी।
‪मैं प्रवीण कामत हूँ, ‪काउंटर-टैररिज़्म यूनिट से।
‪आप बाहर जाइए। मैं इसे संभालूँगा।","‪- ____ सुन पा रहे हैं? ‪- जी, हम पूरी कोशिश कर रहे हैं।","‪- आप सुन पा रहे हैं? ‪- जी, हम पूरी कोशिश कर रहे हैं।",आप,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1731,"हाँ।
और तू सीरियसली सोच रही है ऐक्सेप्ट करने का?
हाँ।
तुझे नहीं लगता, तुझे मुझसे पूछना चाहिए था?
क्या पूछना चाहिए था?",____ बैंगलोर में जॉब करने की सोच रही है,तू बैंगलोर में जॉब करने की सोच रही है,तू,T
IndicDialogue,Indoo Ki Jawani,1957132233,1526,"ओह हैलो, तुम्हारे बोलने से भारत पाकिस्तान से बेहतर नहीं हो जाएगा।
और तुलना करनी क्यों है?
हर देश की अपनी अच्छाइयाँ और बुराइयाँ होती हैं।
और अगर तुम्हारे हिसाब से पाकिस्तान अच्छा देश नहीं है तो भारत कौन सा दूध का धुला है।
मैडम, यहाँ महिला के खिलाफ जितने",अपराध हो रहे हैं ना उसका तो कोई जवाब नहीं है ____ पास।,अपराध हो रहे हैं ना उसका तो कोई जवाब नहीं है तुम्हारे पास।,तुम्हारे,TUM
IndicDialogue,Guilty,1956804853,1023,"‎-सैनिक फ़ार्म में पहले ही आपका सात... ‎-तो?
‎इससे क्या साबित होता है?
‎ यह हड़पने के स्वभाव को दर्शाता है।
‎विपक्ष ये दलील दे सकता है कि ‎एक लायक, बाहर से आए स्टूडेंट का हक़ मारना
‎आप जैसे विशेष अधिकार वाले ‎स्टूडेंट के लिए कोई बड़ी बात नहीं।",‎यह सिर्फ़ बहस को आगे बढ़ाएगा ‎कि ____ सिस्टम की परवाह नहीं करते।,‎यह सिर्फ़ बहस को आगे बढ़ाएगा ‎कि आप सिस्टम की परवाह नहीं करते।,आप,AAP
IndicDialogue,Dhamaka,1957450323,436,"‪एक सेकंड होल्ड कीजिए।
‪-क्या करें? बॉस? ‪- अर्जुन जी।
‪-सुन रहे हैं न आप? ‪-हाँ।
‪तो आप ये सब पैसों के लिए कर रहे हैं?
‪मैं आपकी आवाज़ को ज़्यादा से ‪ज़्यादा लोगों तक ले जा सकता हूँ।",‪और ____ मेरी तरह कोई और सुनेगा भी नहीं।,‪और आपको मेरी तरह कोई और सुनेगा भी नहीं।,आपको,AAP
IndicDialogue,Dhamaka,1957450323,1105,"‪आप अपना काम ख़ुद से नहीं कर पा रहे हैं।
‪और आप मुझे पर डाल रहे हैं। ‪मुझे ज्ञान दे रहे हैं?
‪मैं समझ सकता हूँ आप पुलिस पर भरोसा नहीं ‪करते, पर दिक्कत ये है कि आप जब लाइव जाएंगे
‪और अगर आपको कुछ हो जाता है,
‪तो इसका मतलब होगा आतंकवादी से हारना।",‪तो ____ उसे कैसे पकडेंगे?,‪तो आप उसे कैसे पकडेंगे?,आप,AAP
IndicDialogue,Indoo Ki Jawani,1957132233,153,"वो भी पता नहीं अपने सहेली के साथ क्या कर रही है इतने देर से।
नहीं, मैं नहीं आ रही तेरे घर।
अरे इंदू क्या हो गया?
बोल रहा हूँ, कल सुबह पक्का मैं तेरे पापा के सामने बैठा मिलूँगा।
भगवान कसम!",और जो ____ कल नहीं आया तो?,और जो तू कल नहीं आया तो?,तू,T
IndicDialogue,Ginny Weds Sunny,1956951114,1128,"‎बकवास बंद कर। बात करनी है तुझसे कुछ।
‎यार उसने एकदम से प्रपोज़ कर दिया।
‎मैं खुद इतनी हैरान थी, यार।
‎तू भी तो यही चाहती थी ना!
‎हाँ पर जब मैं चाहती थी, तब तो नहीं किया उसने।","‎अब क्या चाहती है, ____ गिन्नी? बता।","‎अब क्या चाहती है, तू गिन्नी? बता।",तू,T
IndicDialogue,Axone,1956818787,962,"सुनो।
तुम उसके साथ सही तरीके से पेश आओगी, है ना?
शादी है उसकी।
ज़ोरेम'स कॉर्नर
वह अंदर है?",____ क्यों कर रहे हो ये सब?,तुम क्यों कर रहे हो ये सब?,तुम,TUM
IndicDialogue,Jaane Jaan,1958289341,566,"एक ये वाला भी, प्लीज़।
ठीक है।
आप बैठिए। मैं भिजवाती हूँ।
-जी, धन्यवाद। -हम्म।
मैम, एक और चीज़।",इस आदमी को ____ कहीं देखा है क्या?,इस आदमी को आपने कहीं देखा है क्या?,आपने,AAP
IndicDialogue,Axone,1956818787,17,"अरे मुझे चर्च जाना था यार।
क्लब
अच्छा तू ठीक है ना?
पता नहीं। ये सब बहुत अजीब है।
चिंता मत कर। नहीं हम",- ____ बस इंटरव्यू पर ध्यान देना। -  हाँ।,- तू बस इंटरव्यू पर ध्यान देना। -  हाँ।,तू,T
IndicDialogue,Axone,1956818787,441,"अरे यार तू एक हाथ से सिलेन्डर पकड़। एक हाथ से मुझे पकड़।
नहीं, मैं गिर जाऊँगी।
- अरे यार! - शिव, नहीं समझ में आता तुझे?
-  धीरे! धीरे चल न! - अरे कितना बोलती है तू? चुपचाप बैठ पीछे।
हॉर्न क्यों बजा रहा है इतना? अरे धीरे!",यार ____ मेरी बंदी होती ना तो अपने सिर पर सिलेन्डर ही फोड़ देता।,यार तू मेरी बंदी होती ना तो अपने सिर पर सिलेन्डर ही फोड़ देता।,तू,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2332,"टिन्नी जा रही है आज?
हाँ।
क्यों जा रही है?
उसे जाना है, वो जा रही है।
तुझे छोड़ के क्यों जा रही है?",____ क्यों जाने दे रहा है?,तू क्यों जाने दे रहा है?,तू,T
IndicDialogue,Indoo Ki Jawani,1957132233,164,"मुझे शादी का लोलीपॉप देके सिर्फ अपना मतलब पूरा करना है तुझे।
देखो इंदू, तेरे पास कोई ख़ास खजाना नहीं है।
सभी के पास वही होता है।
तो मेरी ईमानदारी को हल्के में लेना बंद कर दे।
मैं ख़ास नहीं हूँ तो मेरे पीछे क्यों पड़ा है?","जा, जाकर कहीं और मुँह मार ले। भाड़ में जा ____!","जा, जाकर कहीं और मुँह मार ले। भाड़ में जा तू!",तू,T
IndicDialogue,Guilty,1956804853,996,"‎-तुम वीजे को जेल भेजना चाहते हो ना? ‎-क्या?
‎क्या तुमने इस वक़्त मुझे यहां बुलाया...
‎क्या तुम मेरे साथ सोने की कोशिश कर रहे हो?
‎-क्या बकवास है, क्या बोल रही हो तुम? ‎-क्या तुमने इसलिए मुझे यहां लाया?
‎-क्या? ‎-तुम वीजे को जेल भेजना चाहते हो क्योंकि...",‎और मैं इतने दिन से ____ बात कर रही थी।,‎और मैं इतने दिन से तुमसे बात कर रही थी।,तुमसे,TUM
IndicDialogue,Lust Stories 2,1958186552,458,"क्या दीदी? कितनी बार याद दिलाना पड़ेगा आपको, हाँ?
मेरा कल लेट हो गया था, दीदी, काम पे।
अरे तो लेट हो गया तो परसों भी लेट हो गया था।
फव्वारे जैसे फुर्र-फुर्र कर रहा है।
कल बर्तन करते-करते पूरा नहा ली मैं।","- अच्छा, वॉचमैन ने बोला था... - दीदी, कल ____...","- अच्छा, वॉचमैन ने बोला था... - दीदी, कल आपने...",आपने,AAP
IndicDialogue,Good Newwz,1956816836,211,"मुझे लगा उसे सिर्फ़ मैं ही पढ़ती हूँ।
जब आपका कॉलम पढ़ता हूँ, भगवान को शुक्रिया कहता हूँ कि मैं अनपढ़ नहीं।
क्या एक सेल्फ़ी ले सकता हूँ?
अह! ज़रूर।
माफ़ करें।",____ फ़ोटो में आ रहे हैं। शुक्रिया।,आप फ़ोटो में आ रहे हैं। शुक्रिया।,आप,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,663,"वापस आ तुरंत!
मनु, तू कैसी बात कर रहा है?
बचपन से जानता है तू मुझे।
मुझे तो सॉस भी हॉट एंड स्वीट पसंद है।
फ़ेवरेट फ़्लेवर है मेरा।",____ सीरियसली लगता है कि मैं इसे छोड़कर...,तुझे सीरियसली लगता है कि मैं इसे छोड़कर...,तुझे,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1742,"मुझे ओके है या नहीं?
बैंगलोर में जॉब लेने के लिए बैंगलोर जाना पड़ेगा न।
उसके लिए बैंगलोर में रहना पड़ेगा।
और हम अभी दिल्ली में रहते हैं।
तो अगर तू बैंगलोर में जॉब लेगी",तो ____ बैंगलोर रहेगी और मैं दिल्ल्ली।,तो तू बैंगलोर रहेगी और मैं दिल्ल्ली।,तू,T
IndicDialogue,Good Newwz,1956816836,183,"तुम्हें अक्ल होनी चाहिए यार।
फ़्लाइट पकड़नी है। मम्मी फ़ोन करके पागल हो रही है। संदेश पर संदेश भेज रही है।
आज ही का दिन मिला था तुम्हें?
ओह! मुझे माफ़ कर दो।
मैं अपने अंडाशय को समझा देती हूँ कि पारिवारिक समारोह के दिन, काम ना करे।",जब मर्ज़ी तब करे। पर ____ मुझसे क्यों मेहनत करवाने लगती हो?,जब मर्ज़ी तब करे। पर तुम मुझसे क्यों मेहनत करवाने लगती हो?,तुम,TUM
IndicDialogue,Shehzada,1958077493,1562,"वैसे, शादी के बाद कहाँ रहने का प्लान है?
अपना देश या विदेश?
वुहान छोड़ के कहीं भी!
-सर… - तुम क्या करना चाह रहे हो?
तुम चाहते हो मैं शादी करके चली जाऊँ?",हाँ? ये चाहते हो ____?,हाँ? ये चाहते हो तुम?,तुम,TUM
IndicDialogue,Haseen Dillruba,1957295757,1713,"‎मेंढक?
‎ये मेंढक तो आपका ‎बहुत बड़ा फ़ैन है, रानी जी।
‎और आपका फ़ैन बेस अब मैं बढ़ाता हूँ।
‎तो मैंने ना प्यार में ना ‎आपके कुछ वीडियोज़ लिए थे, आपको तो याद है?
‎अब उनको मैं अपने ग्रुप में डालूँगा। ‎शेयर करूँगा।",‎ ____ फ़ैन बढ़ जाएंगे।,‎ आपके फ़ैन बढ़ जाएंगे।,आपके,AAP
IndicDialogue,Shehzada,1958077493,472,"अगर मैं आपकी फीस डबल कर दूँ?
हमारी फर्म ऐसे क्लाइंट्स को डिफेंड नहीं करती।
अरे कोई तो प्राइस होगा आपका?
नहीं है।
और प्लीज़ मुझे नाराज़ मत कीजिए।","वर्ना, मैं ____ भाई के खिलाफ़ केस लड़ूँगी।","वर्ना, मैं आपके भाई के खिलाफ़ केस लड़ूँगी।",आपके,AAP
IndicDialogue,Hit the First Case,1957795759,281,"{\an8}निजी कारण हैं, सर।
मुझे तो याद भी नहीं आ रहा है कि पिछली बार तुमने छुट्टी कब माँगी थी।
तुम ब्रेक डिज़र्व करते हो।
थैंक यू, सर।
और मैं तुम्हें इसलिए जाने दे रहा हूँ,",क्योंकि तुमने इसमें लिखा है कि ____ फ़ोन पर अवेलेबल रहोगे।,क्योंकि तुमने इसमें लिखा है कि तुम फ़ोन पर अवेलेबल रहोगे।,तुम,TUM
IndicDialogue,Madam Chief Minister,1957179704,1067,"-आ गई। -शर्मा जी बोलिए।
यह ठीक नहीं है मैडम।
यह गुंडागर्दी नहीं चलेगी।
-बिलकुल नहीं चलेगी! -नहीं चलेगी!
तुम लोगों को इस तरह यहाँ लाने के लिए माफ़ी चाहती हूँ।",और अगर मेरे लोगों ने ____ साथ कोई बदतमीजी की हो तो मुझे खेद है।,और अगर मेरे लोगों ने तुम्हारे साथ कोई बदतमीजी की हो तो मुझे खेद है।,तुम्हारे,TUM
IndicDialogue,Indoo Ki Jawani,1957132233,1528,"हर देश की अपनी अच्छाइयाँ और बुराइयाँ होती हैं।
और अगर तुम्हारे हिसाब से पाकिस्तान अच्छा देश नहीं है तो भारत कौन सा दूध का धुला है।
मैडम, यहाँ महिला के खिलाफ जितने
अपराध हो रहे हैं ना उसका तो कोई जवाब नहीं है तुम्हारे पास।
धार्मिक युद्ध!",सहिष्णुता के नाम पर तो धोखेबाज़ हो ____ लोग।,सहिष्णुता के नाम पर तो धोखेबाज़ हो तुम लोग।,तुम,TUM
IndicDialogue,Jaadugar,1957742927,942,"तूने बोला था ना?
""जगह बता, टाइम बता। पापा से आके मैं बात करूँगा।""
जगह घर, टाइम अभी।
आ जा।
दिशा 12 बज रहे हैं।",____ पता है ना मेरा रजिस्ट्रेशन है आज यहाँ।,तुझे पता है ना मेरा रजिस्ट्रेशन है आज यहाँ।,तुझे,T
IndicDialogue,Darlings,1957768015,1148,"‎शायद टीवी पे खाना-खज़ाना ‎देख रहे थे, अम्मी। वो भी हेड-फ़ोन्स पे।
‎क्या करेगी पुलिस? पारिवारिक मामला है।
‎मैंने बदरू को मारा। बदरू ने वापस मेरे को ‎मारा। हिसाब बरोबर बोल के छोड़ देगी।
‎लेकिन अगर मैं गलती से भी टपक गया न, ‎तो सोच क्या करेगी पुलिस। हत्या का मामला।
‎ये माँ-बेटी के ज़्यादा जज़्बात में न, ‎पागल, तू जेल जाएगा।","‎क्या है रे ____, मानना पड़ेगा, मतलब।","‎क्या है रे तू, मानना पड़ेगा, मतलब।",तू,T
IndicDialogue,Good Newwz,1956816836,931,"-♪कुवे ते पाणी परेन्दिये♪ -♪ज़ुम्बा♪
-♪तू मल मल पैर ना दो♪ -♪जुम्बा♪
-♪कुवे ते पाणी परेन्दिये♪ -♪ज़ुम्बा♪
-♪तू मल मल पैर ना दो♪ -♪जुम्बा♪
♪वागी चंबा केहदे गया♪",♪____ बैठी हार परो♪,♪तू बैठी हार परो♪,तू,T
IndicDialogue,Good Newwz,1956816836,1214,"देखो आख़िरी फ़ैसला तुम्हारा है।
मैं किसी भी तरह तुम्हें रोकना नहीं चाहती और खासकर इस केस में तो बिलकुल नहीं।
बहुत संवेदनशील केस है।
लेकिन मैं चाहती हूँ कि एक बार
सबकुछ भूलकर तुम सिर्फ़ इस दिल के बारे में सोचो,",जो ____ अंदर धड़क रहा है।,जो तुम्हारे अंदर धड़क रहा है।,तुम्हारे,TUM
IndicDialogue,Ginny Weds Sunny,1956951114,1059,"‎तू ये बता, खाना कहाँ खाना है?
‎वहाँ एक ढाबा है, वहीं रुकते हैं।
‎अरे आगे रेडिसन भी आ रहा है, वहां खाते हैं ना?
‎जब हमेशा अपनी चलानी होती है, तो पूछते क्यों हो?
‎अरे, तू गुस्सा क्यों कर रही है?",‎____ पता है ना ढाबे का खाना मुझे नहीं समझ आता। ‎पता नहीं कैसे गंदे-गंदे हाथों से बनाते हैं।,‎तुझे पता है ना ढाबे का खाना मुझे नहीं समझ आता। ‎पता नहीं कैसे गंदे-गंदे हाथों से बनाते हैं।,तुझे,T
IndicDialogue,Lust Stories 2,1958186552,1135," मैंने बहुत मिस किया तुम्हें!
नहीं।
 नहीं, हम ये नहीं कर सकते।
तुम प्लीज़ यहाँ से चले जाओ।
 तुम्हारी पत्नी है अब।",जिसकी वजह से मैंने ____ खो दिया।,जिसकी वजह से मैंने तुम्हें खो दिया।,तुम्हें,TUM
IndicDialogue,Dhamaka,1957450323,847,"‪जैसे हमारे देश में आप जैसे लोगों को
{\an8}‪मदद करने के लिए सरकार ने न्याय ‪बनाया है। न्याय मिलता है आप लोगों को।
{\an8}‪ अरे, इन सब चीज़ों में ‪सच में विश्वास रखते हैं?
‪शायद अमीर और ताक़तवर लोगों के लिए सच हो।
‪हमारी तरफ़ तो न्याय का ‪तराजू झुका ही नहीं है।",‪हम कह रहे हैं न ____ हम बहुत सोचे ‪इसके बारे में। और कोई रास्ता ही नहीं था।,‪हम कह रहे हैं न आपसे हम बहुत सोचे ‪इसके बारे में। और कोई रास्ता ही नहीं था।,आपसे,AAP
IndicDialogue,The Great Indian Family,1958355201,848,"पंडित अगर हीरो है तो हम भी कोई विलेन थोड़े ना हैं।
पर कहानी में ना हीरोइन एक ही है- जसमीत,
और जहां तक ​​हमारी गेसिंग है ना, वो पंडित को लाइक करती है।
भट्टा बस.. कान फट जायेंगे हमारे। पंडित ने धोखा किया है हमारे साथ
अबे तुम्हें कुछ पता ही नहीं है। पंडित बेचारा क्या धोखा करेगा तुम्हारे साथ,",लाइफ ने ____ पता है पंडित के साथ कितना बड़ा धोखा किया है।,लाइफ ने तुम्हें पता है पंडित के साथ कितना बड़ा धोखा किया है।,तुम्हें,TUM
IndicDialogue,Good Newwz,1956816836,94,"शुक्राणु की बात नहीं है, वादे की बात है।
तुम्हें क्या लगता है, मेरा मन नहीं करता दोस्तों के साथ घूमने-फिरने का?
पर मुझे पता है कि ज़रूरी क्या है।
थोड़ी सी तो समझदारी दिखाया करो, यार।
तुमने तो बड़ी समझदारी दिखा रखी है।",डॉक्टर ने ____ क्या कहा था कि अपने सोने की आदत का ध्यान रखो।,डॉक्टर ने तुम्हें क्या कहा था कि अपने सोने की आदत का ध्यान रखो।,तुम्हें,TUM
IndicDialogue,The Great Indian Family,1958355201,620,"इसलिए बच्चों को दांपत्य सूत्र में थोड़ा जल्दी बांध दिया जाए
अगर आपको कोई कष्ट न हो तो।
हमें काहे का कष्ट।
कष्ट तो ये केतु देगा
जो सप्तम को देख रहा है गोचर में।",- ____ शायद ध्यान नहीं दिया। - दिया।,- आपने शायद ध्यान नहीं दिया। - दिया।,आपने,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1773,"सुन, मुझे तुझसे बहस नहीं करनी है।
तू बस ये बोल, तू ये ऑफ़र रिजेक्ट कर रही है या नहीं?
नहीं।
तो हम ये क्यों कर रहे हैं?
मतलब?",____ सच में इतनी बेवकूफ़ है क्या?,तू सच में इतनी बेवकूफ़ है क्या?,तू,T
IndicDialogue,Lust Stories 2,1958186552,259,"नहीं, वो... वो बहुत हॉट है। मेरा मतलब बहुत आकर्षक है।
 शायद मैं टैन्स थी।
परफॉर्मेंस प्रेशर ना?
और आपकी ही वजह से, जब मैं बेड पर थी तब भी आप ही मेरे दिमाग में थीं।
हे भगवान!"," ____ पता है, दादी? मैं..."," आपको पता है, दादी? मैं...",आपको,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,814,"चुप हो जा। चुप हो जा! चुप! चुप!
-नहीं, सोच के... -चुप हो और तमीज़ से प्रपोज़ कर।
टिन्नी, मैं तुझे बहुत प्यार दूँगा।
मैं तेरा ख़याल रखूँगा।
तुझे कुँए में नहीं कूदने दूँगा।",____ भी तेरी सुरक्षा करूँगा।,तुझसे भी तेरी सुरक्षा करूँगा।,तुझसे,T
IndicDialogue,Axone,1956818787,1450,"उपासना राय
मुझसे शादी करोगी?
करोगी?
मुझसे शादी करोगी!
मुझे तुमसे प्यार है।",मैं ____ बहुत प्यार करता हूँ!,मैं तुमसे बहुत प्यार करता हूँ!,तुमसे,TUM
IndicDialogue,Shehzada,1958077493,2025,"ये भी तो तुझसे ही सीखा है।
कि तारीफ भी गाली जैसी लगनी चाहिए।
जिंदल खानदान का पोता स्कूटर पे घूम रहा है।
अरे, सवा सौ सीसी है। कमाल का माइलेज देती है।
और गेयर का झंझट ही नहीं। और क्या चाहिए?",____ तेरी नई स्कूटर मुबारक!,तुझे तेरी नई स्कूटर मुबारक!,तुझे,T
IndicDialogue,Jaadugar,1957742927,420,"देश-विदेश में हजारों शो करने के बाद,
आख़िर लौट के ये बुद्धू अपने घर आ ही गया!
अब तक आपने मेरी 40 साल की मेहनत देखी।
लेकिन आज का ये आख़िरी एक्ट, जो आप देखने वाले हैं।
वो एक ऐसा जादू है,",जिसे ____ असली जादू भी कह सकते हैं।,जिसे आप असली जादू भी कह सकते हैं।,आप,AAP
IndicDialogue,Shehzada,1958077493,192,"उन्होंने कहा है कुमार को बोलो मैं घर पे नहीं हूँ।
कैसा आदमी है तू!
अपने बेटे से झूठ बुलवाता है!
शर्म कर।
शाम को आऊँगा बाकी के पैसे लेने।",इससे तो अच्छा होता ____ उसे मेरी गोद में बिठा देता।,इससे तो अच्छा होता तू उसे मेरी गोद में बिठा देता।,तू,T
IndicDialogue,Jaadugar,1957742927,838,"दिशा…
दिशा नारंग हो जाएगा शादी के बाद यार।
ये पासपोर्ट वाली सूचना-जानकारी बाद में लूँगा ना।
हनीमून पे वीजा भी तो बनवाना है। तब ले लूँगा।
दिशा तुझसे ज़्यादा ज़रूरी नहीं है मेरी लाइफ में कुछ।",पापा जी से मैं बात करता हूँ। ____ बस टाइम और जगह बता।,पापा जी से मैं बात करता हूँ। तू बस टाइम और जगह बता।,तू,T
IndicDialogue,Darlings,1957768015,1313,"‎ बाढ़ से परेशान ‎एक बिच्छू रोते हुए आया।
‎ बिच्छू ने मेंढक से पूछा, ""ए, मेंढक, ‎मेरे को प्लीज नदी पार करवा दे न,""
‎ मेंढक बोला, ‎""अगर तूने मुझे काट लिया तो?""
‎ बिच्छू बोला,
{\an8}‎कासिम कसाई","{\an8}‎ ""अरे, ____ पागल है क्या? अगर मैं ‎तेरे को काटा, तो हम दोनों डूब जाएँगे।""","{\an8}‎ ""अरे, तू पागल है क्या? अगर मैं ‎तेरे को काटा, तो हम दोनों डूब जाएँगे।""",तू,T
IndicDialogue,Guilty,1956804853,889,"‎""किसका ख्व़ाब है, ख़्याल है?""
‎यहां पर कुछ नहीं है। हम... हम केपी से ‎यहां कोई अच्छी-सी धुन डालवाएंगे।
‎""किसकी ख़राबी में हूँ...""
‎क्या बकवास है?
‎तुमने ऐसा क्यों किया?",‎____ कहां थी उस रात एक बजे तक?,‎तुम कहां थी उस रात एक बजे तक?,तुम,TUM
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2004,"मुझे तेरी शादी में आ के सीन क्रीएट करने से
दुनिया की कोई ताकत, कोई सरहद नहीं रोक सकती।
तू बस डेट और वैन्यू बता दे।
डील।
कार्ड भेजूँगी,",____ आ जाना बखेड़ा खड़ा करने।,तू आ जाना बखेड़ा खड़ा करने।,तू,T
IndicDialogue,Dhamaka,1957450323,138,"‪आप फ़ोन रखिए वरना मैं ‪अभी पुलिस को रिपोर्ट करता हूँ।
‪ तो कीजिए न। ‪कौन रोक रहा है आपको।
‪कीजिए। फ़ोन कीजिए, चलिए।
‪हम होल्ड पर रखते हैं।
‪बहुत सोचा इसके बारे में ‪और कोई उपाय नहीं है हमारे पास।",‪____ सुन रहे हैं न हमारी बात को? ‪हम सच में उड़ा देंगे।,‪आप सुन रहे हैं न हमारी बात को? ‪हम सच में उड़ा देंगे।,आप,AAP
IndicDialogue,Indoo Ki Jawani,1957132233,1044,"कोई शक नहीं तुम संगीतकार हो।
सर्वश्रेष्ठ संगीतकार पाकिस्तान से हैं।
जावेद बशीर, रेशमा, आतिफ असलम।
कमाल है।
ऐसी बात नहीं है।",____ देश में भी कमाल के संगीतकार हैं।,तुम्हारे देश में भी कमाल के संगीतकार हैं।,तुम्हारे,TUM
